Water Temp(F),Water Flow Rate(gpm),Intake Air Temp(F),Air Flow(cfm)
119.5,1.6,60.9,1053.5
117.3,0.1,80.7,1100.5
121.4,0.6,53.3,542.6
120.2,1.6,49.2,915.8
118.8,0.1,57.1,645.4
121.4,1.6,44.8,1001.6
120.5,0.8,38.1,936.2
120.0,0.6,68.2,602.1
121.2,0.2,57.5,637.6
122.4,0.2,52.0,1165.4
121.0,0.2,76.8,911.1
115.8,0.3,60.5,1223.9
117.3,0.1,79.1,573.5
119.5,0.6,47.6,1085.0
118.7,0.2,75.8,1376.7
119.7,0.2,60.6,1078.8
118.8,0.1,77.0,1093.5
122.6,0.0,36.6,647.4
119.2,0.2,81.5,575.4
120.1,0.2,75.5,899.0
121.0,0.2,60.5,573.9
118.6,0.1,75.2,724.4
121.4,1.1,29.8,782.9
119.3,0.2,56.6,567.2
119.6,0.2,55.7,722.9
121.5,0.8,43.7,928.6
121.0,1.6,48.2,926.9
118.8,0.2,77.6,797.9
120.8,0.4,76.8,1164.2
118.8,0.2,75.3,732.2
121.0,0.7,42.9,636.9
123.6,0.2,51.4,1179.5
119.7,1.6,55.0,1160.3
121.1,1.6,61.6,1172.9
120.5,0.2,81.9,1019.6
120.9,0.0,55.1,856.8
120.6,0.3,57.1,855.8
120.9,0.1,77.8,576.7
121.4,1.1,59.7,888.7
120.1,0.8,53.5,529.4
116.5,0.1,63.5,1225.3
120.8,0.2,82.2,1015.9
120.2,0.2,75.1,701.0
123.6,1.6,49.6,986.1
122.3,1.1,60.0,882.9
120.2,0.1,51.7,1184.3
122.1,0.6,53.7,1229.7
121.4,0.2,60.9,575.6
123.1,0.9,46.3,866.9
121.3,0.9,46.1,856.8
121.1,0.6,61.8,1099.8
119.6,0.6,69.8,1134.9
119.7,0.2,75.2,1199.3
119.5,0.2,75.9,651.3
119.3,0.1,75.1,753.7
121.5,1.6,60.5,531.4
121.2,0.4,35.0,940.1
123.5,0.2,56.4,1032.1
119.2,0.2,75.6,642.5
122.6,0.8,37.3,939.6
119.9,1.6,55.1,904.3
118.3,0.0,55.5,868.3
121.3,1.6,60.4,533.3
120.1,0.1,76.6,1079.8
118.9,0.1,59.0,1005.0
121.4,0.8,62.5,1078.4
117.3,0.1,82.1,947.6
119.0,0.1,73.3,668.9
120.7,1.6,42.0,1228.2
121.0,1.6,57.2,1350.4
121.4,0.6,47.1,1089.6
122.6,1.6,59.3,1294.3
122.8,1.2,43.2,770.3
119.8,0.8,61.9,1057.9
121.3,0.4,57.9,521.1
121.9,1.1,26.9,706.7
121.6,0.4,79.9,758.6
111.6,0.0,55.4,867.2
118.7,0.2,46.6,1227.6
120.6,0.4,80.9,1353.3
116.9,0.1,81.4,867.9
122.2,1.1,32.3,561.0
119.9,0.2,74.0,597.2
121.2,0.2,44.9,1234.3
120.7,0.2,74.9,1204.1
121.9,1.6,57.7,1321.1
121.4,1.6,58.9,1282.1
120.6,0.4,54.4,1000.8
120.0,0.2,75.9,669.8
121.4,0.3,50.3,933.9
121.1,0.6,42.1,858.7
121.8,0.6,61.5,815.1
120.3,0.2,61.9,1011.0
119.8,1.1,63.2,1055.0
120.8,0.2,62.7,1021.2
120.1,0.8,62.8,1091.0
122.8,0.8,39.6,923.2
121.5,0.3,52.5,937.4
121.4,0.8,61.8,1078.4
119.7,0.8,61.7,1074.0
119.8,0.6,82.2,1359.6
120.7,1.6,41.3,1218.6
119.5,1.2,50.3,1152.8
121.2,0.3,43.9,862.4
120.7,0.6,51.8,934.6
121.1,1.1,30.8,786.6
121.0,0.8,62.1,1079.3
120.6,0.4,31.4,948.1
120.1,0.3,57.1,1008.3
124.5,0.0,35.3,654.3
120.0,0.2,62.4,804.4
122.1,0.9,46.5,861.3
119.6,1.6,41.5,981.3
121.5,0.2,57.4,642.5
120.8,0.2,75.1,1181.7
121.8,1.6,49.4,917.6
119.7,0.3,61.6,560.6
121.3,0.2,61.9,1018.1
122.4,1.1,29.5,788.2
116.7,0.1,81.4,868.9
121.8,0.8,56.3,1236.8
121.0,0.3,53.8,633.3
119.6,0.1,75.2,719.6
117.7,0.1,81.3,873.6
118.4,0.1,72.8,649.4
119.4,0.4,78.1,1169.0
115.5,0.0,64.0,1230.1
122.6,0.8,47.2,1218.8
118.7,0.1,59.2,1004.5
121.4,0.2,50.6,1174.8
121.8,0.2,49.0,1174.3
117.6,0.1,80.9,1096.5
118.4,0.1,74.8,701.5
120.4,1.6,51.9,843.4
120.6,0.2,61.6,573.0
121.7,1.1,52.2,857.8
122.2,0.3,49.6,715.9
115.2,0.3,76.4,1363.5
120.7,0.6,54.4,1242.1
119.6,0.0,54.6,869.0
117.7,0.1,80.1,1110.4
121.4,0.2,58.2,637.9
121.3,1.6,40.1,1227.2
120.7,1.6,61.0,612.8
122.0,0.4,32.3,937.6
121.2,1.6,42.2,956.5
121.6,0.8,61.6,620.6
120.2,0.8,54.1,539.7
121.4,0.4,52.9,1007.0
121.7,0.6,51.6,926.1
122.1,1.1,30.0,790.3
119.8,0.2,56.1,1026.6
120.0,1.6,58.6,522.6
122.7,0.8,43.0,927.6
119.2,0.2,75.1,592.3
120.1,0.2,75.6,665.4
119.8,0.2,62.5,835.6
119.7,1.1,58.3,871.2
120.7,0.2,57.5,642.5
122.1,0.8,46.8,862.6
120.6,1.6,60.4,541.6
121.3,0.6,54.1,1222.7
122.3,0.4,67.6,792.0
118.6,0.1,76.2,1084.7
120.6,0.2,58.3,572.7
120.0,0.2,76.0,664.0
121.2,0.4,81.4,717.3
119.4,0.4,76.9,1167.6
120.1,0.2,61.6,784.9
119.7,1.1,55.1,1120.8
121.0,1.1,31.1,786.9
121.3,0.6,45.6,864.2
117.1,0.1,81.4,866.4
120.8,0.2,56.2,1075.5
119.7,1.1,54.9,1164.6
121.2,0.8,39.7,930.9
120.5,1.6,60.6,525.5
120.2,0.2,61.7,571.6
122.4,0.6,56.2,559.1
122.6,0.2,45.1,1230.8
118.2,0.1,74.1,711.3
120.1,0.8,68.4,1338.2
119.9,0.3,61.4,532.8
119.9,0.2,63.4,1014.5
120.6,0.4,54.9,1224.7
119.5,0.2,68.5,1066.7
121.7,0.2,50.9,1181.8
119.0,0.2,75.6,659.6
118.6,0.2,55.7,722.8
120.4,0.4,68.5,993.0
117.5,0.1,80.4,1113.6
118.7,0.1,73.0,993.5
122.2,0.6,81.0,1362.1
123.6,1.1,30.2,791.9
121.7,1.6,40.3,978.9
121.6,1.6,44.6,980.4
118.9,0.2,56.1,851.6
119.8,0.3,55.1,1216.1
119.1,1.6,37.9,1229.3
122.1,0.8,65.6,918.0
120.4,0.2,69.1,1104.7
120.0,1.6,55.1,985.7
123.1,0.2,51.9,1164.8
120.4,1.6,61.3,521.6
121.2,0.4,59.0,516.8
121.4,1.1,50.8,848.6
118.1,0.1,57.8,1005.1
120.9,0.6,39.9,1014.4
116.6,0.1,82.1,946.5
121.8,0.6,50.8,641.0
121.4,0.2,50.6,1179.4
122.6,1.6,58.8,1348.9
122.2,0.2,57.6,1019.8
121.0,0.2,56.2,1026.3
120.8,0.6,67.8,978.9
121.6,0.6,51.6,932.6
120.3,0.6,67.2,981.8
121.5,0.4,78.2,1174.9
118.4,0.0,55.1,862.2
119.1,0.1,73.7,553.3
122.5,0.4,35.7,940.0
121.3,1.6,42.2,1168.9
121.2,0.8,61.8,639.1
119.5,0.1,75.1,720.5
122.6,1.6,39.9,969.2
122.7,1.6,58.8,1273.8
120.5,0.2,74.6,1164.6
122.7,0.8,55.4,1163.3
121.9,0.4,56.2,1229.2
121.2,1.6,41.9,990.1
120.1,1.6,51.5,849.9
120.2,0.3,49.5,720.5
120.9,0.6,38.0,858.2
120.9,1.1,31.0,790.6
122.3,1.2,34.4,558.1
119.9,1.6,43.0,1229.4
120.7,0.8,35.6,943.2
118.8,0.1,57.3,641.7
120.1,0.2,50.8,1178.0
120.1,0.6,82.0,1375.7
120.2,0.3,54.7,710.8
117.8,0.1,82.2,1191.0
121.9,1.6,62.4,798.5
119.3,0.1,72.3,628.9
120.1,0.8,62.1,1099.8
121.7,0.6,67.4,996.9
123.7,0.2,49.2,1173.6
122.6,1.6,59.0,1253.9
120.5,0.3,61.4,541.6
120.4,0.3,55.0,936.2
121.1,0.9,46.8,864.5
117.9,0.1,78.9,793.2
121.2,0.2,42.4,854.7
118.4,0.1,75.0,733.7
119.4,0.2,62.0,815.6
121.9,0.2,52.6,1013.4
119.9,1.6,58.2,1335.3
120.3,0.3,75.7,1179.3
116.1,0.0,63.1,1219.0
119.6,1.6,50.1,713.7
116.3,0.0,63.7,1226.5
121.3,1.6,61.1,513.8
119.9,0.3,77.3,1377.7
122.7,0.8,39.0,935.4
120.4,1.6,54.0,924.3
121.1,0.4,35.5,944.9
118.4,0.2,56.3,862.2
119.2,1.6,41.9,1166.5
120.6,0.2,74.8,1172.4
119.9,0.2,75.3,955.6
121.0,1.1,55.7,623.5
121.8,1.2,45.6,777.4
117.6,0.1,82.3,871.8
118.9,0.1,74.1,743.9
