Discharge Temp(F),Water Temp(F),Water Flow Rate(gpm),Intake Air Temp(F),Air Flow(cfm)
76.5,117.8,0.1,74.2,724.4
76.5,117.8,0.1,74.2,749.8
76.5,117.9,0.1,74.2,716.6
76.5,118.1,0.1,74.2,724.9
76.5,118.2,0.1,74.2,725.9
76.5,118.4,0.1,74.2,720.5
76.5,118.5,0.1,74.2,749.3
76.5,118.8,0.1,74.2,737.6
76.5,118.8,0.1,74.3,747.8
76.5,118.9,0.1,74.3,733.2
76.5,119,0.1,74.2,733.2
76.5,119.1,0.1,74.3,721.5
76.5,119.2,0.1,74.3,729.3
76.5,119.3,0.1,74.3,735.6
76.6,119.3,0.1,74.3,728.8
76.5,119.3,0.1,74.3,748.3
76.5,119.3,0.1,74.3,734.7
76.6,119.3,0.1,74.3,720.5
76.6,119.3,0.1,74.3,736.1
76.6,119.2,0.1,74.3,722.5
76.6,119,0.1,74.3,719.1
76.6,118.9,0.1,74.3,727.4
76.6,118.5,0.1,74.3,724.4
76.6,118.5,0.1,74.3,749.8
76.6,118.3,0.1,74.4,735.6
76.6,118.1,0.1,74.4,749.8
76.6,118,0.1,74.4,737.1
76.7,117.8,0.1,74.4,722.5
76.7,117.8,0.1,74.4,719.1
76.7,117.8,0.1,74.4,729.8
76.7,117.9,0.1,74.4,732.2
76.7,118,0.1,74.4,716.1
76.7,118.2,0.1,74.4,718.6
76.7,118.3,0.1,74.4,731.7
76.7,118.4,0.1,74.4,736.6
76.7,118.6,0.1,74.4,751.7
76.7,118.7,0.1,74.4,705.9
76.7,118.9,0.1,74.4,723
76.7,119,0.1,74.4,723
76.7,119.1,0.1,74.4,717.6
76.7,119.1,0.1,74.4,730.8
76.7,119.2,0.1,74.4,736.6
76.7,119.3,0.1,74.4,718.1
76.7,119.3,0.1,74.4,734.2
76.7,119.4,0.1,74.4,745.9
76.7,119.3,0.1,74.5,748.3
76.7,119.3,0.1,74.5,719.6
76.7,119.2,0.1,74.4,714.2
76.7,119.1,0.1,74.5,723.5
76.7,118.9,0.1,74.5,738.6
76.7,118.8,0.1,74.5,734.2
76.7,118.6,0.1,74.5,712.2
76.7,118.3,0.1,74.5,733.2
76.7,118.3,0.1,74.5,712.7
76.8,118.1,0.1,74.5,733.2
76.8,117.9,0.1,74.5,723
76.8,117.9,0.1,74.5,742
76.8,117.8,0.1,74.5,714.7
76.8,117.9,0.1,74.5,724.9
76.8,117.9,0.1,74.5,727.4
76.8,118.1,0.1,74.5,728.8
76.8,118.2,0.1,74.5,747.8
76.8,118.3,0.1,74.5,724.9
76.8,118.5,0.1,74.5,727.8
76.8,118.6,0.1,74.5,739.1
76.8,118.7,0.1,74.5,708.3
76.8,118.9,0.1,74.5,766.8
76.8,119.1,0.1,74.5,704
76.8,119.1,0.1,74.5,704
76.8,119.2,0.1,74.5,705.9
76.8,119.3,0.1,74.5,733.2
76.8,119.4,0.1,74.5,723.5
76.8,119.4,0.1,74.5,746.4
76.8,119.4,0.1,74.6,718.1
76.8,119.4,0.1,74.6,725.9
76.8,119.3,0.1,74.6,730.8
76.8,119.2,0.1,74.6,730.3
76.8,119.1,0.1,74.6,776.1
76.8,119,0.1,74.6,712.7
76.8,118.8,0.1,74.6,728.8
76.8,118.6,0.1,74.6,750.3
76.9,118.4,0.1,74.6,723.5
76.9,118.1,0.1,74.6,734.2
---,118.1,0.1,74.6,734.2
76.9,117.9,0.1,74.6,707.4
76.9,117.8,0.1,74.6,720.5
76.9,117.8,0.1,74.6,717.6
76.9,117.9,0.1,74.6,714.7
76.9,118,0.1,74.6,742
76.9,118.1,0.1,74.6,723.9
76.9,118.2,0.1,74.6,745.4
76.9,118.4,0.1,74.6,719.1
76.9,118.5,0.1,74.7,755.6
76.9,118.6,0.1,74.7,742.5
76.9,118.8,0.1,74.6,699.6
76.9,118.9,0.1,74.7,745.4
76.9,119,0.1,74.6,736.1
76.9,119.2,0.1,74.7,719.6
76.9,119.2,---,---,---
76.9,119.2,0.1,74.7,736.1
76.9,119.3,0.1,74.7,735.6
76.9,119.3,0.1,74.7,732.7
76.9,119.3,0.1,74.7,742
76.9,119.3,0.1,74.7,728.8
76.9,119.3,0.1,74.7,733.7
76.9,119.2,0.1,74.7,738.6
76.9,119.1,0.1,74.7,739.1
76.9,118.9,0.1,74.7,737.1
76.9,118.7,0.1,74.7,727.4
77,118.6,0.1,74.7,740.5
77,118.4,0.1,74.7,711.8
77,118.2,0.1,74.7,713.2
77,117.9,0.1,74.7,768.3
77,117.9,0.1,74.7,726.4
77,117.8,0.1,74.7,745.9
77,117.8,0.1,74.7,748.3
77,117.9,0.1,74.7,725.4
77,118,0.1,74.8,720
77,118.1,0.1,74.8,748.8
77,118.3,0.1,74.8,747.3
77,118.4,0.1,74.8,717.1
77,118.5,0.1,74.8,726.4
77,118.7,0.1,74.8,736.6
77,118.8,0.1,74.8,737.1
77,118.9,0.1,74.8,741.5
77,119,0.1,74.8,729.3
77,119.1,0.1,74.7,721.5
77,119.3,0.1,74.8,734.2
77,119.3,0.1,74.8,734.2
77,119.4,0.1,74.8,723.9
77,119.4,0.1,74.8,748.8
77,119.4,0.1,74.8,723.5
77,119.4,0.1,74.8,718.1
77,119.3,0.1,74.8,743.9
77,119.2,0.1,74.8,710.8
77,119.1,0.1,74.8,762
77,119,0.1,74.8,724.4
77,118.8,0.1,74.8,731.3
77,118.6,0.1,74.8,718.6
77,118.4,0.1,74.8,722.5
77,118.2,0.1,74.8,728.8
77,118,0.1,74.8,738.1
77,117.8,0.1,74.8,749.3
77,117.8,0.1,74.8,749.3
77.1,117.8,0.1,74.8,747.8
77.1,117.9,0.1,74.8,743.9
77.1,118,0.1,74.8,727.4
77.1,118.1,0.1,74.8,723.9
77.1,118.3,0.1,74.8,746.4
77,118.4,0.1,74.8,701.5
77.1,118.5,0.1,74.8,725.9
77.1,118.7,0.1,74.8,734.7
77.1,118.8,0.1,74.8,718.6
77.1,118.9,0.1,74.8,716.6
77.1,119,0.1,74.8,722.5
77,119.2,0.1,74.8,720.5
77,119.2,0.1,74.8,744.9
77,119.4,0.1,74.8,752.7
77,119.4,0.1,74.8,721
77.1,119.4,0.1,74.8,731.7
77.1,119.4,0.1,74.8,709.8
77.1,119.4,0.1,74.8,715.7
77.1,119.3,0.1,74.8,716.6
77.1,119.3,0.1,74.9,750.8
77.1,119.1,0.1,74.8,726.4
77.1,119,0.1,74.9,727.4
